Binol,Ligand,R,S
4,1005.0,99,1
45,1071.0,1,99
7,1071.0,1,99
8,1067.0,98,2
9,1067.0,99,1
46,1072.0,2,98
13,1072.0,2,98
47,1067.0,98,2
14,1072.0,8,92
15,1072.0,5,95
20,1067.0,99,1
19,1072.0,2,98
21,1072.0,1,99
22,1071.0,2,98
48,1001.0,2,98
23,1067.0,94,6
24,1067.0,95,5
49,1031.0,5,95
26,1071.0,1,99
50,1003.0,2,98
51,1022.0,98,2
52,1005.0,98,2
53,1005.0,98,2
35,,2,98
55,1071.0,2,98
54,1071.0,7,93
56,1046.0,96,4
36,1120.0,2,98
57,1031.0,9,91
58,1071.0,1,99
39,1001.0,5,95
59,1046.0,98,2
60,1115.0,3,97
61,1115.0,2,98
62,1005.0,94,6
63,1031.0,9,91
64,1115.0,16,84
65,1014.0,95,5
25,1072.0,6,94
