Binol,Ligand,R,S
3,1009,95,5
781,1009,98,2
62,1009,97,3
63,1009,98,2
66,1009,97,3
803,1009,98,2
36,1009,92,8
795,1009,98,2
44,1009,84,46
45,1009,89,11
56,1009,99,1
52,1009,96,4
57,1009,99,1
60,1009,97,3
108,1009,64,36
85,1009,96,4
121,1009,96,4
179,1009,53,47
19,1009,60,40
96,1009,53,47
210,1009,61,39
167,1009,54,46
145,1009,52,48
23,1009,51,49
133,1009,54,46
134,1009,53,47
166,1009,51,49
129,1009,50,50
138,1009,61,39
147,1009,51,49
124,1009,67,33
151,1009,61,39
141,1009,53,47
139,1009,51,49
273,1009,52,48
269,1009,50,50
91,1009,90,10
