Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G
47,1109,CC(C)(C)c1cc(-c2ccc3c(-c4c(O)ccc5cc(-c6cc(C(C)(C)C)cc(C(C)(C)C)c6)ccc45)c(O)ccc3c2)cc(C(C)(C)C)c1,[O-]C[C@@H]1CCCN1,0,0,14 38,,-2010.021302,-326.127563
91,1145,Oc1c(-c2c(O)c3ccccc3c3ccccc23)c2ccccc2c2ccccc12,COc1ccc([C@H](N)[C@@H](N)c2ccc(OC)cc2)cc1,0,0,0 5,9 7,-1227.19924,-880.7644659
126,1132,Oc1c(-c2ccc(C3CCCCC3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(C3CCCCC3)cc2)cc2ccccc12,CC1(C)[C@@H]2C[C@@H]([O-])[C@@](C)([O-])[C@H]1C2,0,0,0 25,,-1850.594112,-540.3370829
52,1149,CCCCOc1ccc2ccc(O)c(-c3c(O)ccc4ccc(OCCCC)cc34)c2c1,O=S(=O)(N[C@@H](c1ccccc1)[C@@H](NS(=O)(=O)C(F)(F)F)c1ccccc1)C(F)(F)F,0,0,12 16,3 12,-1384.582003,-2422.191334
66,1038,COc1ccc(-c2cc(O)c(-c3c(O)cc(-c4ccc(OC)cc4)c4ccccc34)c3ccccc23)cc1,CC(C)(C)[C@@H]1COC(CC2=N[C@H](C(C)(C)C)CO2)=N1,0,1,9 13,10 18,-1610.672436,-846.2631981
28,1082,COc1ccc(C(C)(C)C)cc1-c1cc2ccccc2c(-c2c(O)c(-c3cc(C(C)(C)C)ccc3OC)cc3ccccc23)c1O,c1ccc([C@@H]2N=C(c3cccc(C4=N[C@@H](c5ccccc5)[C@H](c5ccccc5)N4)c3)N[C@H]2c2ccccc2)cc1,0,0,23 45,13 28 5 30,-1924.757447,-1607.358369
18,1098,Oc1c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc2c1-c1c(O)c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc12,CC(C)[C@H]1COC(/C(C#N)=C2\[N-][C@@H](C(C)C)CO2)=N1,2,6,0 32,9 18 11,-2886.458692,-859.3852808
62,1150,Oc1cc(C2CCCCC2)c2ccccc2c1-c1c(O)cc(C2CCCCC2)c2ccccc12,[O-]c1ccccc1/C=N/[C@@H](c1ccccc1)[C@@H](/N=C/c1ccccc1[O-])c1ccccc1,0,0,0 19,8 17,-1388.945446,-1338.945921
57,1058,CC(C)c1ccc2ccc(O)c(-c3c(O)ccc4ccc(C(C)C)cc34)c2c1,C1CCC([C@H]2COC(C3=N[C@@H](C4CCCCC4)CO3)=N2)CC1,0,0,10 14,9 19,-1155.75372,-961.6661462
3,1105,CC(C)c1cc2ccccc2c(-c2c(O)c(C(C)C)cc3ccccc23)c1O,N[C@@H]1CCCC[C@H]1[O-],0,0,14 27,,-1155.752613,-365.4171147
32,1111,Oc1ccc2cc(OCc3ccccc3)ccc2c1-c1c(O)ccc2cc(OCc3ccccc3)ccc12,CC(C)[C@H](N)C[O-],0,0,0 21,,-1610.670859,-327.333821
0,1142,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,NC(=O)[C@@H]1CC(F)(F)CN1,0,0,0 13,0 9,-920.1839287,-579.2434339
130,1148,Oc1c(-c2cc(F)cc(F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(F)cc(F)c2)cc2ccccc12,O=C(N[C@@H](c1ccccc1)[C@@H](NC(=O)c1ccccc1P(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1,0,0,0 21,2 11,-1778.535779,-2947.2013
36,1125,CCCCc1ccc2c(-c3c(O)ccc4cc(CCCC)ccc34)c(O)ccc2c1,CC(C)(C)[C@H]1CN2C[C@H](C(C)(C)C)[N-]C2=N1,0,0,11 25,13 6 15,-1234.271879,-673.33055
31,1191,COc1ccc2c(-c3c(O)ccc4cc(OC)ccc34)c(O)ccc2c1,c1ccc(-c2cccc(C3=N[C@H]4c5ccccc5C[C@H]4O3)n2)nc1,0,0,9 21,10 21 22,-1149.006099,-1009.709879
60,1117,Oc1ccc2ccc(-c3ccccc3)cc2c1-c1c(O)ccc2ccc(-c3ccccc3)cc12,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@]([O-])(CCN(C)C)c1ccc2ccccc2c1,0,0,0 19,24 21,-1381.857238,-4069.87959
21,1061,Cc1cc(C)c(-c2cc3ccccc3c(-c3c(O)c(-c4c(C)cc(C)cc4C)cc4ccccc34)c2O)c(C)c1,C[C@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,0,0,17 36,14 15,-1617.439452,-869.9753069
1,1140,COc1cc2ccccc2c(-c2c(O)c(OC)cc3ccccc23)c1O,CC1(C)O[C@@H](C[O-])[C@H](C[O-])O1,0,0,13 25,,-1149.000246,-574.1407143
129,1141,COc1cc(OC)cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(OC)cc(OC)c4)cc4ccccc34)c2O)c1,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1,2,0,20 40,9 3,-1839.497565,-695.9272943
56,1081,Cc1ccc2ccc(O)c(-c3c(O)ccc4ccc(C)cc34)c2c1,Cc1ccc(S(=O)(=O)N2C(c3cccc(C4=N[C@@H](c5ccccc5)[C@H](c5ccccc5)N4S(=O)(=O)c4ccc(C)cc4)c3)=N[C@@H](c3ccccc3)[C@@H]2c2ccccc2)cc1,0,0,8 12,8 16 43 31,-998.7145586,-3244.251941
13,1106,C[Si](C)(C)c1cc2ccccc2c(-c2c(O)c([Si](C)(C)C)cc3ccccc23)c1O,N[C@@H](C[O-])Cc1ccccc1,3,0,15 29,,-1737.053674,-479.6485701
46,1129,Cc1ccc(-c2ccc3c(-c4c(O)ccc5cc(-c6ccc(C)cc6)ccc45)c(O)ccc3c2)cc1,C=C[C@@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@H](N)c1ccnc2ccc(OC)cc12,0,0,12 29,11 4,-1460.386859,-1015.561433
122,1091,Oc1c(-c2ccc(Cl)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(Cl)cc2)cc2ccccc12,Cc1ccc(N2C[C@H](CC(C)C)N=C2C2=N[C@@H](CC(C)C)CN2c2ccc(C)cc2)cc1,1,1,0 20,12 5 22 15,-2300.820508,-1307.466211
26,1118,Oc1c(-c2cccc3ccccc23)cc2ccccc2c1-c1c(O)c(-c2cccc3ccccc23)cc2ccccc12,CC(C)(C)c1cc(/C=N/[C@@H]2CCCC[C@H]2/N=C/c2cc(C(C)(C)C)cc(C(C)(C)C)c2[O-])c([O-])c(C(C)(C)C)c1,0,1,0 23,8 15,-1688.858756,-1661.320129
63,1134,Oc1cc(-c2ccccc2)c2ccccc2c1-c1c(O)cc(-c2ccccc2)c2ccccc12,[O-][C@@H](c1ccccc1)C([O-])(c1ccccc1)c1ccccc1,0,0,0 19,,-1381.850264,-921.2481744
23,1110,CC(C)(C)c1cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc4ccccc34)c2O)cc(C(C)(C)C)c1,CC(C)(C)[C@@H](N)C[O-],2,0,18 42,,-2010.013435,-366.5936045
24,1174,Oc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc12,c1ccc2c(c1)C[C@H]1OC(C3(C4=N[C@H]5c6ccccc6C[C@H]5O4)CCCCC3)=N[C@@H]21,0,0,0 27,12 28,-2729.04535,-1265.120113
2,1128,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,O=C(N[C@H]1CCCC[C@@H]1NC(=O)c1ccccn1)c1ccccn1,0,0,12 23,9 2 17 23,-998.7155767,-1066.431466
125,1114,Oc1c(-c2ccc(-c3ccc4ccccc4c3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccc4ccccc4c3)cc2)cc2ccccc12,[O-]C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1,1,0,0 29,,-2150.531823,-2135.060687
121,1122,Oc1ccc2ccccc2c1-c1c(O)ccc2cc(-c3ccccc3)ccc12,CN[C@@H]1CCCC[C@H]1NC,1,0,0 13,8 1,-1151.019629,-424.657817
35,1104,CC(C)c1ccc2c(-c3c(O)ccc4cc(C(C)C)ccc34)c(O)ccc2c1,N[C@@H](c1ccccc1)[C@H]([O-])c1ccccc1,0,1,10 23,,-1155.752048,-671.2387181
