Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G,Pred_Value
20,1181,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,c1ccc([C@H]2OC(c3ccccn3)=N[C@H]2c2ccccc2)cc1,0,0,17 35,12 13,-1610.674271,-955.5810827,-36.17272916777074
25,1071,Oc1c(-c2ccc3ccccc3c2)cc2ccccc2c1-c1c(O)c(-c2ccc3ccccc3c2)cc2ccccc12,c1ccc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc1,2,0,0 23,16 5,-1688.860782,-762.8325198,-45.69855371784843
30,1087,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,CC[C@@H](C)[C@H]1CN(c2cccc(C(C)(C)C)c2)C(C2=N[C@@H]([C@H](C)CC)CN2c2cccc(C(C)(C)C)c2)=N1,0,0,0 25,26 19 37 6,-1843.52349,-1543.021699,-34.667791479503606
20,1077,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,CC(C)(C)[C@H]1COC(c2ccc3ccccc3n2)=N1,0,0,17 35,17 18,-1610.674271,-804.4663888,-32.02545932992321
30,1019,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,c1ccc2c(c1)C[C@H]1OC(C3(C4=N[C@H]5c6ccccc6C[C@H]5O4)CC3)=N[C@@H]21,0,0,0 25,25 12,-1843.52349,-1147.313977,-41.396667626117775
2,1179,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CC3)=N2)cc1,0,0,12 23,24 11,-998.7155767,-1149.663336,-61.593801252725
20,1011,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CCCCC3)=N[C@H]2c2ccccc2)cc1,0,3,17 35,9 30,-1610.674271,-1650.634597,-39.25553483676644
20,1039,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,0,0,17 35,10 22,-1610.674271,-1071.142417,17.315618164818463
2,1015,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)=N1,0,2,12 23,10 22,-998.7155767,-1002.119896,-78.09063834839803
25,1205,Oc1c(-c2ccc3ccccc3c2)cc2ccccc2c1-c1c(O)c(-c2ccc3ccccc3c2)cc2ccccc12,c1ccc([C@H]2COC(c3nccc4ccccc34)=N2)cc1,2,0,0 23,9 18,-1688.860782,-878.2485743,-33.35662664212908
