Binol,Ligand,Pred_Value
3,1005,3.3053412747350053
4,1077,74.53308790587354
27,1005,-10.918011647239505
4,1046,82.57885797684963
27,1054,-21.76528120290184
27,1056,-26.575884336690176
3,1112,54.81891941643956
27,1121,-3.613816062596921
27,1075,15.75276226276745
27,1006,6.072754343714094
32,1025,-50.81365039559974
3,1131,-2.293267278271811
42,1120,-26.91383688185
3,1013,-27.7747726757086
3,1108,-13.675448567828598
32,1078,-4.4371020288489005
31,1071,-29.828490462855463
4,1070,59.0279440407778
3,1119,22.21844838939069
27,1058,-28.00397203861926
3,1115,-23.499714513608907
6,1078,-0.5026183427596133
3,1048,-55.682738192960464
3,1120,-24.13378197730656
3,1010,-23.676993569443617
30,1046,37.8924107422403
30,1049,30.468321379302527
4,1078,-8.286625282296981
27,1030,14.255320191439
30,1071,-43.59332593226203
32,1068,-28.24071816104877
42,1094,-18.897363291203654
27,1018,-20.330920670173413
3,1116,44.56212197908606
27,1108,-21.59067448345976
40,1059,-18.773333150789917
9,1070,70.41721212076845
9,1049,49.25742838440716
13,1005,29.18069268119232
12,1025,-51.26661304636824
11,1025,-30.61108595131306
10,1046,28.862051766559333
20,1070,76.07169033306604
20,1005,15.584856903307898
1,1094,-38.01034247129727
1,1026,11.220940155637422
1,1013,-5.667243303874606
1,1029,-19.15311125588802
1,1116,11.305725155446387
1,1069,27.406257990400757
