Binol,Ligand,R,S,
0,1039,61,39,
0,1066,41,59,
0,1098,41,59,
0,1151,52,48,
0,1184,77,23,configuration?
0,1185,40,60,
0,1201,34,66,
2,1015,4,96,
2,1071,25,75,
2,1095,38,62,
2,1179,18,82,
2,1186,51,49,
20,1006,88,12,
20,1011,20,80,
20,1016,22,78,
20,1020,6,94,
20,1039,75,25,
20,1064,79,21,
20,1077,31,69,
20,1095,38,62,
20,1098,45,55,
20,1174,46,54,
20,1179,19,81,
20,1180,53,47,
20,1181,11,89,
20,1186,50,50,
20,1193,53,47,
20,1195,22,78,
20,1203,84,16,
20,1204,91,9,
25,1016,39,61,
25,1017,38,62,
25,1071,16,84,
25,1153,41,59,
25,1174,44,56,
25,1205,35,65,
30,1019,28,72,
30,1036,71,29,
30,1071,21,79,
30,1087,29,71,
31,1195,39,61,
32,1195,42,58,
36,1017,26,74,
36,1036,71,29,
36,1151,60,40,
36,1154,85,15,
56,1036,62,38,
56,1151,50,50,
63,1154,83,17,
66,1036,81,19,
