Binol,Ligand,R,S
1,1079,46,54
1,1103,44,56
1,1098,55,45
1,1119,52,48
1,1132,52,48
52,1053,38,62
52,1117,45,55
52,1114,15,85
52,1076,35,65
52,1103,39,61
52,1098,60,40
52,1073,50,50
52,1128,41,59
52,1129,32,68
14,1060,31,69
14,1115,18,82
14,1079,33,67
14,1004,23,77
54,1046,69,31
60,1001,11,89
60,1053,43,57
60,1114,21,79
60,1076,36,64
60,1084,9,91
60,1102,32,68
60,1013,39,61
60,1073,42,58
60,1129,40,60
64,1113,46,54
64,1079,38,62
64,1059,38,62
72,1001,33,67
70,1036,80,20
70,1031,23,77
70,1079,33,67
70,1120,30,70
65,1120,33,67
65,1081,41,59
57,1001,14,86
57,1003,16,84
57,1049,60,40
57,1004,25,75
57,1005,90,10
10,1001,9,91
10,1025,14,86
10,1103,37,63
4,1068,11,89
4,1078,42,58
63,1079,25,75
63,1068,46,54
