Binol,Ligand,R,S
0,1005,33,67
0,1009,99,1
0,1011,48,52
0,1020,49,51
0,1032,44,56
0,1059,50,50
0,1075,48,52
0,1095,48,52
0,1125,53,47
0,1136,50,50
0,1142,50,50
0,1146,49,51
0,1154,95,5
0,1155,87,13
0,1181,49,51
0,1200,59,41
0,1205,50,50
1,1005,48,52
1,1140,50,50
2,1005,14,86
2,1128,50,50
3,1023,44,56
3,1105,49,51
13,1106,50,50
13,1200,50,50
18,1098,46,54
19,1158,50,50
20,1005,15,85
21,1061,47,53
21,1200,52,48
23,1097,48,52
23,1110,50,50
23,1200,64,36
24,1174,47,53
25,1005,40,60
25,1163,50,50
26,1118,50,50
28,1082,50,50
29,1107,50,50
30,1101,50,50
31,1005,49,51
31,1011,45,55
31,1191,49,51
31,1200,59,41
32,1005,46,54
32,1009,60,40
32,1011,54,46
32,1020,48,52
32,1032,47,53
32,1111,50,50
32,1125,54,46
32,1155,59,41
32,1180,53,47
32,1200,59,41
35,1005,37,63
35,1006,55,45
35,1009,97,3
35,1011,40,60
35,1012,72,28
35,1020,48,52
35,1025,39,61
35,1029,38,62
35,1030,44,56
35,1032,48,52
35,1033,64,36
35,1038,54,46
35,1039,52,48
35,1054,55,45
35,1079,50,50
35,1099,50,50
35,1104,50,50
35,1125,52,48
35,1136,50,50
35,1139,50,50
35,1154,92,8
35,1155,95,5
35,1180,52,48
35,1200,74,26
36,1005,34,66
36,1011,42,58
36,1016,35,65
36,1019,8,92
36,1020,49,51
36,1032,48,52
36,1059,49,51
36,1075,48,52
36,1125,49,51
36,1174,9,91
36,1175,55,45
36,1200,66,34
36,1205,49,51
44,1005,29,71
44,1011,46,54
44,1020,48,52
44,1059,50,50
44,1075,48,52
44,1086,48,52
44,1125,50,50
44,1127,50,50
44,1200,62,38
44,1205,49,51
45,1005,31,69
45,1011,49,51
45,1020,47,53
45,1059,50,50
45,1075,49,51
45,1099,51,49
45,1125,56,44
45,1136,50,50
45,1200,68,32
46,1005,45,55
46,1011,48,52
46,1059,49,51
46,1075,49,51
46,1129,50,50
47,1005,40,60
47,1011,47,53
47,1059,49,51
47,1074,47,53
47,1075,48,52
47,1109,50,50
47,1200,69,31
51,1133,50,50
51,1200,56,44
52,1005,39,61
52,1131,50,50
52,1149,49,51
56,1005,37,63
56,1011,43,57
56,1019,2,98
56,1020,48,52
56,1032,46,54
56,1075,49,51
56,1077,45,55
56,1081,50,50
56,1136,50,50
56,1200,61,39
57,1005,37,63
57,1011,44,56
57,1020,45,55
57,1058,45,55
57,1059,50,50
57,1066,48,52
57,1069,42,58
57,1073,45,55
57,1075,45,55
57,1077,40,60
57,1113,49,51
57,1200,60,40
57,1205,42,58
60,1005,30,70
60,1117,49,51
62,1005,49,51
62,1011,26,74
62,1020,25,75
62,1150,50,50
62,1200,65,35
63,1005,41,59
63,1011,45,55
63,1134,50,50
63,1136,50,50
63,1200,76,24
66,1005,40,60
66,1038,60,40
66,1200,85,15
85,1005,41,59
85,1113,50,50
85,1200,65,35
91,1005,30,70
91,1145,50,50
91,1200,57,43
121,1005,23,77
121,1011,46,54
121,1032,38,62
121,1075,48,52
121,1122,50,50
121,1136,49,51
121,1200,68,32
122,1091,37,63
122,1136,50,50
122,1200,65,35
123,1182,44,56
124,1072,47,53
125,1114,50,50
126,1132,50,50
128,1005,44,56
128,1136,50,50
128,1138,50,50
129,1141,50,50
130,1148,50,50
130,1185,50,50
