Binol,Ligand,R,S,Unnamed: 4
0,1142,50.0,50.0,
0,1146,49.0,51.0,
1,1140,50.0,50.0,
2,1128,50.0,50.0,
3,1105,49.0,51.0,
3,1023,44.0,56.0,
13,1106,50.0,50.0,
18,1098,46.0,54.0,
19,1158,50.0,50.0,
20,1005,15.0,85.0,
21,1061,47.0,53.0,
23,1110,50.0,50.0,
23,1097,48.0,52.0,
24,1174,47.0,53.0,
25,1163,50.0,50.0,
26,1118,50.0,50.0,
28,1082,50.0,50.0,
29,1107,50.0,50.0,
30,1101,50.0,50.0,
31,1191,49.0,51.0,
32,1111,50.0,50.0,
32,1011,54.0,46.0,
35,1104,50.0,50.0,
36,1125,49.0,51.0,
44,1127,50.0,50.0,
45,1099,51.0,49.0,
46,1129,50.0,50.0,
47,1109,50.0,50.0,
47,1074,47.0,53.0,
51,1133,50.0,50.0,
52,1149,49.0,51.0,
52,1131,50.0,50.0,
56,1081,50.0,50.0,
57,1058,45.0,55.0,
60,1117,49.0,51.0,
62,1150,50.0,50.0,
63,1134,50.0,50.0,
66,1038,60.0,40.0,
85,1113,50.0,50.0,
91,1145,50.0,50.0,
121,1122,50.0,50.0,
122,1091,37.0,63.0,
123,1182,44.0,56.0,
124,1072,47.0,53.0,
125,1114,50.0,50.0,
126,1132,50.0,50.0,
128,1138,50.0,50.0,
129,1141,50.0,50.0,
130,1148,50.0,50.0,
130,1185,50.0,50.0,
0,1005,33.0,67.0,
0,1200,59.0,41.0,
0,1011,48.0,52.0,
0,1136,50.0,50.0,
0,1095,48.0,52.0,
0,1032,44.0,56.0,
0,1020,49.0,51.0,
1,1005,48.0,52.0,
13,1200,50.0,50.0,
21,1200,52.0,48.0,
23,1200,64.0,36.0,
25,1005,40.0,60.0,
32,1005,46.0,54.0,
35,1005,37.0,63.0,
35,1200,74.0,26.0,
36,1005,34.0,66.0,
36,1200,66.0,34.0,
36,1011,42.0,58.0,
44,1005,29.0,71.0,
45,1005,31.0,69.0,
45,1011,49.0,51.0,
46,1005,45.0,55.0,
47,1005,40.0,60.0,
47,1011,47.0,53.0,
56,1005,37.0,63.0,
57,1005,37.0,63.0,
57,1200,60.0,40.0,
62,1005,49.0,51.0,
62,1200,65.0,35.0,
62,1011,26.0,74.0,
63,1005,41.0,59.0,
63,1200,76.0,24.0,
63,1011,45.0,55.0,
63,1136,50.0,50.0,
66,1005,40.0,60.0,
66,1200,85.0,15.0,
91,1005,30.0,70.0,
91,1200,57.0,43.0,
121,1005,23.0,77.0,
121,1200,68.0,32.0,
121,1011,46.0,54.0,
121,1032,38.0,62.0,
121,1136,49.0,51.0,
122,1136,50.0,50.0,
122,1200,65.0,35.0,
128,1005,44.0,56.0,
128,1136,50.0,50.0,
0,1125,53.0,47.0,
0,1075,48.0,52.0,
0,1059,50.0,50.0,
0,1205,50.0,50.0,
0,1181,49.0,51.0,
31,1200,59.0,41.0,
32,1200,59.0,41.0,
32,1125,54.0,46.0,
36,1020,49.0,51.0,
36,1075,48.0,52.0,
36,1059,49.0,51.0,
36,1205,49.0,51.0,
44,1011,46.0,54.0,
44,1020,48.0,52.0,
44,1075,48.0,52.0,
44,1125,50.0,50.0,
44,1205,49.0,51.0,
44,1059,50.0,50.0,
44,1200,62.0,38.0,
44,1086,48.0,52.0,
45,1020,47.0,53.0,
45,1075,49.0,51.0,
45,1059,50.0,50.0,
45,1200,68.0,32.0,
45,1125,56.0,44.0,
46,1075,49.0,51.0,
46,1011,48.0,52.0,
46,1059,49.0,51.0,
47,1075,48.0,52.0,
47,1200,69.0,31.0,
47,1059,49.0,51.0,
51,1200,56.0,44.0,
52,1005,39.0,61.0,
56,1200,61.0,39.0,
56,1075,49.0,51.0,
56,1011,43.0,57.0,
57,1011,44.0,56.0,
57,1075,45.0,55.0,
57,1059,50.0,50.0,
60,1005,30.0,70.0,
62,1020,25.0,75.0,
85,1005,41.0,59.0,
85,1200,65.0,35.0,
121,1075,48.0,52.0,
0,1009,99.0,1.0,
0,1154,95.0,5.0,
0,1155,87.0,13.0,
2,1005,14.0,86.0,
31,1005,49.0,51.0,
31,1011,45.0,55.0,
32,1009,60.0,40.0,
32,1020,48.0,52.0,
32,1032,47.0,53.0,
32,1155,59.0,41.0,
32,1180,53.0,47.0,
35,1006,55.0,45.0,
35,1009,97.0,3.0,
35,1011,40.0,60.0,
35,1012,72.0,28.0,
35,1020,48.0,52.0,
35,1025,39.0,61.0,
35,1029,38.0,62.0,
35,1030,44.0,56.0,
35,1032,48.0,52.0,
35,1033,64.0,36.0,
35,1038,54.0,46.0,
35,1039,52.0,48.0,
35,1054,55.0,45.0,
35,1079,50.0,50.0,
35,1099,50.0,50.0,
35,1125,52.0,48.0,
35,1136,50.0,50.0,
35,1139,50.0,50.0,
35,1154,92.0,8.0,
35,1155,95.0,5.0,
35,1180,52.0,48.0,
36,1016,35.0,65.0,
36,1019,8.0,92.0,
36,1032,48.0,52.0,
36,1174,9.0,91.0,
36,1175,55.0,45.0,
45,1136,50.0,50.0,
56,1019,2.0,98.0,
56,1020,48.0,52.0,
56,1032,46.0,54.0,
56,1077,45.0,55.0,
56,1136,50.0,50.0,
57,1020,45.0,55.0,
57,1066,48.0,52.0,
57,1069,42.0,58.0,
57,1073,45.0,55.0,
57,1077,40.0,60.0,
57,1113,49.0,51.0,
57,1205,42.0,58.0,
0,1012,88.0,12.0,
0,1174,10.0,90.0,
0,1175,46.0,54.0,
0,1006,57.0,43.0,
0,1024,44.0,56.0,
0,1026,41.0,59.0,
0,1170,50.0,50.0,
0,1016,31.0,69.0,
0,1014,27.0,73.0,
0,1036,66.0,34.0,
31,1009,81.0,19.0,
31,1174,16.0,84.0,
31,1032,47.0,53.0,
31,1006,54.0,46.0,
31,1012,59.0,41.0,
31,1175,45.0,55.0,
31,1155,71.0,29.0,
32,1174,29.0,71.0,
32,1006,51.0,49.0,
32,1012,61.0,39.0,
32,1016,47.0,53.0,
32,1175,47.0,53.0,
35,1175,41.0,59.0,
35,1174,7.0,93.0,
35,1016,27.0,73.0,
35,1024,47.0,53.0,
35,1036,63.0,37.0,
36,1012,78.0,22.0,
36,1009,92.0,8.0,
36,1024,43.0,57.0,
36,1006,54.0,46.0,
36,1029,40.0,60.0,
36,1155,88.0,12.0,
36,1086,44.0,56.0,
44,1009,84.0,16.0,
44,1012,66.0,34.0,
45,1174,11.0,89.0,
45,1032,46.0,54.0,
45,1024,46.0,54.0,
45,1175,45.0,55.0,
45,1009,89.0,11.0,
47,1175,48.0,52.0,
47,1174,13.0,87.0,
56,1175,43.0,57.0,
56,1009,99.0,1.0,
56,1155,92.0,8.0,
56,1012,63.0,37.0,
56,1006,60.0,40.0,
56,1174,17.0,83.0,
0,1019,2.0,98.0,
0,1003,75.0,25.0,
0,1023,45.0,55.0,
3,1009,95.0,5.0,
31,1016,40.0,60.0,
31,1019,26.0,74.0,
31,1026,46.0,54.0,
31,1014,45.0,55.0,
32,1019,35.0,65.0,
32,1014,46.0,54.0,
35,1019,4.0,96.0,
35,1014,26.0,74.0,
35,1027,57.0,43.0,
35,1026,48.0,52.0,
35,1023,47.0,53.0,
35,1195,32.0,68.0,
35,1177,46.0,54.0,
35,1003,82.0,18.0,
35,1010,2.0,98.0,
35,1096,54.0,46.0,
35,1171,47.0,53.0,
35,1022,45.0,55.0,
35,1034,35.0,65.0,
35,1095,55.0,45.0,
36,1014,37.0,63.0,
36,1177,47.0,53.0,
36,1026,43.0,57.0,
36,1027,54.0,46.0,
36,1023,49.0,51.0,
36,1003,85.0,15.0,
36,1195,25.0,75.0,
36,1095,53.0,47.0,
36,1171,44.0,56.0,
36,1096,53.0,47.0,
36,1097,45.0,55.0,
45,1012,75.0,25.0,
45,1016,16.0,84.0,
45,1019,9.0,91.0,
45,1014,40.0,60.0,
45,1023,48.0,52.0,
45,1026,46.0,54.0,
45,1087,52.0,48.0,
56,1014,14.0,86.0,
56,1016,17.0,83.0,
56,1026,48.0,52.0,
56,1027,56.0,44.0,
56,1003,68.0,32.0,
57,1012,85.0,15.0,
57,1019,2.0,98.0,
0,1001,10.0,90.0,
0,1035,55.0,45.0,
1,1070,51.0,49.0,
2,1019,1.0,99.0,
2,1040,46.0,54.0,
2,1198,44.0,56.0,
13,1162,50.0,50.0,
18,1093,44.0,56.0,
18,1144,50.0,50.0,
18,1168,50.0,50.0,
18,1202,56.0,44.0,
19,1050,54.0,46.0,
20,1056,43.0,57.0,
20,1187,36.0,64.0,
21,1147,49.0,51.0,
23,1003,71.0,29.0,
23,1102,50.0,50.0,
23,1149,50.0,50.0,
24,1067,37.0,63.0,
24,1092,38.0,62.0,
24,1131,50.0,50.0,
24,1186,52.0,48.0,
25,1009,55.0,45.0,
25,1012,68.0,32.0,
25,1014,48.0,52.0,
25,1019,46.0,54.0,
25,1125,49.0,51.0,
25,1195,42.0,58.0,
25,1200,58.0,42.0,
26,1071,46.0,54.0,
26,1100,44.0,56.0,
26,1183,70.0,30.0,
28,1001,29.0,71.0,
28,1080,50.0,50.0,
28,1137,49.0,51.0,
28,1204,76.0,24.0,
29,1057,38.0,62.0,
29,1169,45.0,55.0,
30,1094,26.0,74.0,
30,1157,46.0,54.0,
31,1003,66.0,34.0,
32,1003,65.0,35.0,
45,1195,30.0,70.0,
57,1195,31.0,69.0,
62,1019,1.0,99.0,
62,1195,15.0,85.0,
63,1014,16.0,84.0,
66,1195,16.0,84.0,
122,1048,50.0,50.0,
128,1084,53.0,47.0,
0,1015,13.0,87.0,
0,1153,32.0,68.0,
2,1001,10.0,90.0,
2,1003,94.0,6.0,
2,1009,99.0,1.0,
2,1011,36.0,64.0,
