Binol,Ligand,R,S
1,1060,33,67
1,1067,99,1
1,1113,48,52
1,1115,49,51
1,1114,44,56
1,1054,50,50
1,1034,48,52
1,1042,48,52
1,1155,53,47
1,1164,50,50
1,1170,50,50
1,1174,49,51
1,1070,95,5
1,1077,87,13
1,1120,49,51
1,1075,59,41
1,1059,50,50
51,1060,48,52
51,1168,50,50
52,1060,14,86
52,1157,50,50
14,1118,44,56
14,1143,49,51
53,1144,50,50
53,1075,50,50
54,1044,46,54
17,1015,50,50
60,1060,15,85
21,1133,47,53
21,1075,52,48
23,1063,48,52
23,1148,50,50
23,1075,64,36
64,1068,47,53
72,1060,40,60
72,1125,50,50
71,1153,50,50
70,1127,50,50
67,1145,50,50
65,1140,50,50
55,1060,49,51
55,1113,45,55
55,1085,49,51
55,1075,59,41
56,1060,46,54
56,1067,60,40
56,1113,54,46
56,1115,48,52
56,1114,47,53
56,1149,50,50
56,1155,54,46
56,1077,59,41
56,1119,53,47
56,1075,59,41
57,1060,37,63
57,1112,55,45
57,1067,97,3
57,1113,40,60
57,1002,72,28
57,1115,48,52
57,1052,39,61
57,1029,38,62
57,1096,44,56
57,1114,48,52
57,1047,64,36
57,1006,54,46
57,1050,52,48
57,1105,55,45
57,1110,50,50
57,1124,50,50
57,1142,50,50
57,1155,52,48
57,1164,50,50
57,1167,50,50
57,1070,92,8
57,1077,95,5
57,1119,52,48
57,1075,74,26
6,1060,34,66
6,1113,42,58
6,1048,35,65
6,1071,8,92
6,1115,49,51
6,1114,48,52
6,1054,49,51
6,1034,48,52
6,1155,49,51
6,1068,9,91
6,1078,55,45
6,1075,66,34
6,1059,49,51
8,1060,29,71
8,1113,46,54
8,1115,48,52
8,1054,50,50
8,1034,48,52
8,1108,48,52
8,1155,50,50
8,1156,50,50
8,1075,62,38
8,1059,49,51
9,1060,31,69
9,1113,49,51
9,1115,47,53
9,1054,50,50
9,1034,49,51
9,1124,51,49
9,1155,56,44
9,1164,50,50
9,1075,68,32
58,1060,45,55
58,1113,48,52
58,1054,49,51
58,1034,49,51
58,1158,50,50
44,1060,40,60
44,1113,47,53
44,1054,49,51
44,1122,47,53
44,1034,48,52
44,1147,50,50
44,1075,69,31
59,1162,50,50
59,1075,56,44
11,1060,39,61
11,1160,50,50
11,1177,49,51
10,1060,37,63
10,1113,43,57
10,1071,2,98
10,1115,48,52
10,1114,46,54
10,1034,49,51
10,1010,45,55
10,1126,50,50
10,1164,50,50
10,1075,61,39
12,1060,37,63
12,1113,44,56
12,1115,45,55
12,1139,45,55
12,1054,50,50
12,1031,48,52
12,1009,42,58
12,1102,45,55
12,1034,45,55
12,1010,40,60
12,1150,49,51
12,1075,60,40
12,1059,42,58
13,1060,30,70
13,1152,49,51
2,1060,49,51
2,1113,26,74
2,1115,25,75
2,1178,50,50
2,1075,65,35
3,1060,41,59
3,1113,45,55
3,1163,50,50
3,1164,50,50
3,1075,76,24
4,1060,40,60
4,1006,60,40
4,1075,85,15
35,1060,41,59
35,1150,50,50
35,1075,65,35
33,1060,30,70
33,1173,50,50
33,1075,57,43
36,1060,23,77
36,1113,46,54
36,1114,38,62
36,1034,48,52
36,1154,50,50
36,1164,49,51
36,1075,68,32
63,1136,37,63
63,1164,50,50
63,1075,65,35
61,1024,44,56
62,1100,47,53
66,1161,50,50
73,1060,44,56
73,1164,50,50
73,1166,50,50
24,1169,50,50
69,1176,50,50
69,1128,50,50
