Index,Smiles,Type
1,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,Binol
2,COc1cc2ccccc2c(-c2c(O)c(OC)cc3ccccc23)c1O,Binol
3,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,Binol
4,CC(C)c1cc2ccccc2c(-c2c(O)c(C(C)C)cc3ccccc23)c1O,Binol
5,C[Si](C)(C)c1cc2ccccc2c(-c2c(O)c([Si](C)(C)C)cc3ccccc23)c1O,Binol
6,Oc1c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc2c1-c1c(O)c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc12,Binol
7,Oc1cc(C2CCCCC2)c2ccccc2c1-c1c(O)cc(C2CCCCC2)c2ccccc12,Binol
8,Oc1cc(-c2ccccc2)c2ccccc2c1-c1c(O)cc(-c2ccccc2)c2ccccc12,Binol
9,COc1ccc(-c2cc(O)c(-c3c(O)cc(-c4ccc(OC)cc4)c4ccccc34)c3ccccc23)cc1,Binol
10,COc1ccc2c(-c3c(O)ccc4cc(OC)ccc34)c(O)ccc2c1,Binol
11,Oc1ccc2cc(OCc3ccccc3)ccc2c1-c1c(O)ccc2cc(OCc3ccccc3)ccc12,Binol
12,CC(C)c1ccc2c(-c3c(O)ccc4cc(C(C)C)ccc34)c(O)ccc2c1,Binol
13,CCCCc1ccc2c(-c3c(O)ccc4cc(CCCC)ccc34)c(O)ccc2c1,Binol
14,COc1ccc(-c2ccc3c(-c4c(O)ccc5cc(-c6ccc(OC)cc6)ccc45)c(O)ccc3c2)cc1,Binol
15,Oc1ccc2cc(-c3ccccc3)ccc2c1-c1c(O)ccc2cc(-c3ccccc3)ccc12,Binol
16,Cc1ccc(-c2ccc3c(-c4c(O)ccc5cc(-c6ccc(C)cc6)ccc45)c(O)ccc3c2)cc1,Binol
17,CC(C)(C)c1cc(-c2ccc3c(-c4c(O)ccc5cc(-c6cc(C(C)(C)C)cc(C(C)(C)C)c6)ccc45)c(O)ccc3c2)cc(C(C)(C)C)c1,Binol
18,COc1ccc2ccc(O)c(-c3c(O)ccc4ccc(OC)cc34)c2c1,Binol
19,CCCCOc1ccc2ccc(O)c(-c3c(O)ccc4ccc(OCCCC)cc34)c2c1,Binol
20,Cc1ccc2ccc(O)c(-c3c(O)ccc4ccc(C)cc34)c2c1,Binol
21,CC(C)c1ccc2ccc(O)c(-c3c(O)ccc4ccc(C(C)C)cc34)c2c1,Binol
22,Oc1ccc2ccc(-c3ccccc3)cc2c1-c1c(O)ccc2ccc(-c3ccccc3)cc12,Binol
23,COc1ccc2c(-c3c(O)ccc4ccccc34)c(O)ccc2c1,Binol
25,Oc1c(-c2c(O)c3ccccc3c3ccccc23)c2ccccc2c2ccccc12,Binol
26,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,Binol
27,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,Binol
31,Oc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc12,Binol
32,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,Binol
34,Cc1cc(C)cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(C)cc(C)c4)cc4ccccc34)c2O)c1,Binol
35,CC(C)(C)c1cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc4ccccc34)c2O)cc(C(C)(C)C)c1,Binol
39,Cc1cc(C)c(-c2cc3ccccc3c(-c3c(O)c(-c4c(C)cc(C)cc4C)cc4ccccc34)c2O)c(C)c1,Binol
40,COc1ccc(C(C)(C)C)cc1-c1cc2ccccc2c(-c2c(O)c(-c3cc(C(C)(C)C)ccc3OC)cc3ccccc23)c1O,Binol
41,Oc1c(-c2cccc3ccccc23)cc2ccccc2c1-c1c(O)c(-c2cccc3ccccc23)cc2ccccc12,Binol
42,Oc1c(-c2ccc3ccccc3c2)cc2ccccc2c1-c1c(O)c(-c2ccc3ccccc3c2)cc2ccccc12,Binol
1001,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,Ligand_Box
1002,CC(C)(C)[C@@H]1COC(C2(C3=N[C@H](C(C)(C)C)CO3)CCCCC2)=N1,Ligand_Box
1003,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)=N1,Ligand_Box
1004,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCC2)=N1,Ligand_Box
1006,CC(C)(C)[C@@H]1COC(CC2=N[C@H](C(C)(C)C)CO2)=N1,Ligand_Box
1008,CC(C)(C)[C@H]1COC(C2=N[C@@H](C(C)(C)C)CO2)=N1,Ligand_Box
1009,CC(C)(C)[C@H]1COC(c2ccccn2)=N1,Ligand_Box
1010,CC(C)(C)[C@H]1COC(c2ccc3ccccc3n2)=N1,Ligand_Box
1012,CC(C)(C)[C@@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,Ligand_Box
1013,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)c1ccccn1,Ligand_Box
1015,CC(C)(C)[C@H]1COC([C@@H]2CCCC[C@H]2C2=N[C@@H](C(C)(C)C)CO2)=N1,Ligand_Box
1016,CC(C)(C)[C@@H]1COC(c2ccccc2Nc2ccccc2C2=N[C@H](C(C)(C)C)CO2)=N1,Ligand_Box
1017,CC(C)(C)[C@H]1COC(/C=c2\[n-]/c(=C\C3=N[C@@H](C(C)(C)C)CO3)c3ccccc23)=N1,Ligand_Box
1018,CC(C)(C)[C@H]1COC(c2cccc(-c3cccc(C4=N[C@@H](C(C)(C)C)CO4)n3)n2)=N1,Ligand_Box
1021,Cc1ccc(N2C[C@H](C(C)(C)C)N=C2C2=N[C@@H](C(C)(C)C)CN2c2ccc(C)cc2)cc1,Ligand_Box
1022,CC(C)[C@@H]1COC(C(C)(C)C2=N[C@H](C(C)C)CO2)=N1,Ligand_Box
1023,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CCCCC2)=N1,Ligand_Box
1025,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CC2)=N1,Ligand_Box
1026,CC(C)[C@@H]1COC(CC2=N[C@H](C(C)C)CO2)=N1,Ligand_Box
1028,CC(C)[C@@H]1COC(C(Cc2ccccc2)(Cc2ccccc2)C2=N[C@H](C(C)C)CO2)=N1,Ligand_Box
1029,CC(C)[C@H]1COC(C(Cc2ccc(C(C)(C)C)cc2)(Cc2ccc(C(C)(C)C)cc2)C2=N[C@@H](C(C)C)CO2)=N1,Ligand_Box
1031,CC(C)[C@H]1COC(c2ccccn2)=N1,Ligand_Box
1033,CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1,Ligand_Box
1034,CC(C)[C@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,Ligand_Box
1035,CC(C)[C@@H]1COC(Cc2ccccn2)=N1,Ligand_Box
1036,CC(C)[C@@H]1COC(c2nccc3ccccc23)=N1,Ligand_Box
1037,CC(C)[C@@H]1COC(c2ccc3cccnc3n2)=N1,Ligand_Box
1038,CC(C)C[C@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2C2=N[C@@H](CC(C)C)CO2)=N1,Ligand_Box
1039,CC(C)[C@H]1COC(c2cccc3c2oc2c(C4=N[C@@H](C(C)C)CO4)cccc23)=N1,Ligand_Box
