A,B
0.0002,-0.012581547
0.00105,-0.022952755
0.001883333,-0.042825937
0.0027,-0.072143972
0.00355,-0.108254453
0.004366667,-0.147938728
0.0052,-0.186254581
0.006033333,-0.217196842
0.006883333,-0.237196684
0.007716667,-0.245643159
0.008533333,-0.244716803
0.009366667,-0.236620506
0.0102,-0.223753353
0.011033333,-0.208581487
0.011866667,-0.192505618
0.0127,-0.176295638
0.01355,-0.160294274
0.014383333,-0.145134827
0.015216667,-0.130966306
0.01605,-0.11749814
0.016883333,-0.103749335
0.0177,-0.090450048
0.018533333,-0.077746809
0.019366667,-0.066282849
0.0202,-0.055896739
0.021033333,-0.047112505
0.021866667,-0.040881336
0.0227,-0.036813319
0.023533333,-0.034374495
0.024366667,-0.032601257
0.0252,-0.031406681
0.026033333,-0.030311445
0.026883333,-0.029330452
0.027716667,-0.027991831
0.02855,-0.02699097
0.029383333,-0.026511649
0.030216667,-0.026543935
0.03105,-0.025324523
0.031883333,-0.022622446
0.032716667,-0.019821028
0.03355,-0.018070141
0.034366667,-0.017071764
0.0352,-0.016272068
0.036033333,-0.017382205
0.036866667,-0.019346674
0.0377,-0.02018859
0.038533333,-0.018365681
0.039366667,-0.015089909
0.0402,-0.011697412
0.041033333,-0.008267661
0.041866667,-0.005620221
0.0427,-0.004403293
0.043533333,-0.00418971
0.044366667,-0.003712873
0.0452,-0.002657374
0.046033333,-0.001428028
0.046866667,-0.000332793
0.0477,0.000419716
0.048533333,0.000630816
0.049366667,0.000382463
0.0502,0.000320375
0.051033333,0.000437101
0.051866667,0.001005828
0.0527,0.002426406
0.05355,0.004671514
0.054383333,0.00602752
0.055216667,0.00552088
0.05605,0.004038215
0.056883333,0.002205372
0.057716667,0.000258287
0.05855,-0.00201414
0.059383333,-0.003176431
0.060216667,-0.003052255
0.06105,-0.002610187
0.061883333,-0.002533197
0.062716667,-0.002692143
0.06355,-0.002284845
0.064383333,-0.001455347
0.065216667,-0.00073264
0.06605,-1.99E-05
0.066883333,0.000789762
0.067716667,0.001395742
0.068533333,0.001301368
0.069366667,9.19E-05
0.0702,-0.001519918
0.071033333,-0.003166497
0.071866667,-0.004333754
0.0727,-0.004775822
0.073533333,-0.004693866
0.074366667,-0.004611909
0.0752,-0.004336238
0.076033333,-0.003265838
0.076866667,-0.002130866
0.0777,-0.001261632
0.078533333,-0.000630816
0.079366667,0.000536442
0.0802,0.001442929
0.081033333,0.002073745
0.081866667,0.00354896
0.0827,0.005699694
0.083533333,0.00710537
0.084366667,0.007313987
0.0852,0.007227063
0.086033333,0.006941458
0.086866667,0.006387631
0.0877,0.005880992
0.088533333,0.005890926
0.089366667,0.005356967
0.0902,0.004256765
0.091033333,0.003062189
0.091866667,0.001857678
0.0927,0.00042965
0.093533333,-0.000750025
0.094366667,-0.000494222
0.0952,0.000668069
0.096033333,0.001966953
0.096866667,0.003012518
0.0977,0.003914038
0.098533333,0.004303952
0.099366667,0.004306436
0.1002,0.004040698
0.101033333,0.003680587
0.101866667,0.003263354
0.1027,0.002615154
0.103533333,0.002197921
0.104366667,0.001763304
0.1052,0.002066294
0.106033333,0.00268966
0.106883333,0.002771616
0.107716667,0.002038976
0.10855,0.000980993
0.109383333,-2.73E-05
0.110216667,-0.001010795
0.11105,-0.001718601
0.111883333,-0.001986821
0.112716667,-0.002287328
0.11355,-0.002987683
0.114383333,-0.003320475
0.115216667,-0.003196299
0.11605,-0.003293157
0.116883333,-0.003658235
0.117716667,-0.003653268
0.11855,-0.002784034
0.119383333,-0.001773238
0.120216667,-0.000879169
0.12105,0.000737607
0.121883333,0.00252823
0.122716667,0.003735224
0.12355,0.003854434
0.124383333,0.004207095
0.125216667,0.004517535
0.12605,0.003958742
0.126883333,0.003273288
0.127716667,0.003700455
0.12855,0.005466243
0.129383333,0.006395082
0.130216667,0.0061964
0.13105,0.005615254
0.131883333,0.005173186
0.132716667,0.003804763
0.13355,0.00077486
0.134383333,-0.002553066
0.135216667,-0.00488013
0.13605,-0.006201367
0.136866667,-0.007264316
0.1377,-0.007425745
0.138533333,-0.006432335
0.139366667,-0.005225341
0.1402,-0.004520019
0.141033333,-0.003923972
0.141866667,-0.003238519
0.1427,-0.003467004
0.143533333,-0.004584591
0.144366667,-0.006265938
0.1452,-0.007828077
0.146033333,-0.009571513
0.146866667,-0.011081497
0.1477,-0.011583169
0.148533333,-0.011004508
0.149366667,-0.009658436
0.1502,-0.008739531
0.151033333,-0.008173287
0.151866667,-0.008019308
0.1527,-0.008108715
