iter	RMSEWithUncertainty
0	5.123131888
1	5.113972531
2	5.105559747
3	5.099193499
4	5.091230494
5	5.082018206
6	5.075958344
7	5.067982122
8	5.058649972
9	5.051863872
10	5.041764358
11	5.033525217
12	5.025853664
13	5.017488396
14	5.008766085
15	4.998752725
16	4.989986517
17	4.98207698
18	4.973695787
19	4.966788962
20	4.956221565
21	4.946680885
22	4.938055915
23	4.929640952
24	4.921604325
25	4.914075077
26	4.905975087
27	4.898231029
28	4.891847013
29	4.884241753
30	4.877878346
31	4.868736115
32	4.859817402
33	4.851762877
34	4.844493276
35	4.840207502
36	4.832343399
37	4.826497659
38	4.819843737
39	4.812415138
40	4.806590244
41	4.799712153
42	4.794711052
43	4.788442093
44	4.783664666
45	4.778340363
46	4.774515408
47	4.76983399
48	4.765076175
49	4.760751952
50	4.75308889
51	4.747845482
52	4.740435402
53	4.735754345
54	4.731686759
55	4.725621799
56	4.718890341
57	4.714832533
58	4.709671118
59	4.702370157
60	4.695992326
61	4.690632345
62	4.685256257
63	4.6797462
64	4.674694729
65	4.669202821
66	4.66410792
67	4.658897224
68	4.651410118
69	4.646507235
70	4.641444464
71	4.635333174
72	4.62999173
73	4.623899463
74	4.618807547
75	4.613805968
76	4.609253009
77	4.603835303
78	4.598028581
79	4.591190073
80	4.587154288
81	4.583294666
82	4.577313219
83	4.572522044
84	4.567184179
85	4.561275026
86	4.556109475
87	4.551994683
88	4.54806322
89	4.544619598
90	4.539312291
91	4.533366077
92	4.529034635
93	4.5248758
94	4.520453182
95	4.516127912
96	4.511845638
97	4.507320637
98	4.502893309
99	4.498112427
100	4.49373392
101	4.489441314
102	4.485480792
103	4.480540777
104	4.475819869
105	4.4717794
106	4.4671599
107	4.462411682
108	4.459035821
109	4.455077004
110	4.451147295
111	4.445837531
112	4.44247426
113	4.439217582
114	4.435569839
115	4.431480363
116	4.427235881
117	4.423171345
118	4.419612771
119	4.414630318
120	4.411147727
121	4.406773739
122	4.402602476
123	4.399670442
124	4.396219384
125	4.393195242
126	4.388646428
127	4.38457906
128	4.381077324
129	4.378394889
130	4.37514314
131	4.371354533
132	4.368012493
133	4.36487961
134	4.361941462
135	4.358442208
136	4.354597251
137	4.350857429
138	4.347744022
139	4.343741818
140	4.339747021
141	4.336739065
142	4.334518338
143	4.331433565
144	4.328759913
145	4.325327889
146	4.322721806
147	4.320539081
148	4.317813693
149	4.315333287
150	4.312296443
151	4.308835672
152	4.306116182
153	4.302588973
154	4.29914923
155	4.296585122
156	4.293893012
157	4.291054203
158	4.288508384
159	4.285426209
160	4.282854316
161	4.279618638
162	4.277010996
163	4.274395703
164	4.27056982
165	4.268039248
166	4.265685155
167	4.263091429
168	4.260618557
169	4.25767254
170	4.255292874
171	4.252795794
172	4.25030674
173	4.247644911
174	4.244548771
175	4.241866521
176	4.239457701
177	4.237099416
178	4.235162591
179	4.232687361
180	4.230012326
181	4.228316946
182	4.226500725
183	4.223579226
184	4.221760327
185	4.218857797
186	4.216439374
187	4.21376233
188	4.210969621
189	4.207765774
190	4.205928258
191	4.204077972
192	4.201730716
193	4.200406805
194	4.198574508
195	4.196693794
196	4.193337936
197	4.191644294
198	4.189401168
199	4.187129423
200	4.185041519
201	4.1827898
202	4.18079518
203	4.178918419
204	4.176365123
205	4.174615447
206	4.172346653
207	4.170518835
208	4.169000118
209	4.16721501
210	4.165001352
211	4.162967925
212	4.161469568
213	4.159366074
214	4.157598207
215	4.155514301
216	4.153356276
217	4.151193956
218	4.149177392
219	4.146197276
220	4.14417208
221	4.142934372
222	4.140815805
223	4.139313115
224	4.137347786
225	4.13533424
226	4.132896866
227	4.131107773
228	4.129612575
229	4.127860289
230	4.125426269
231	4.123436306
232	4.122060941
233	4.120009616
234	4.118170626
235	4.116919907
236	4.114630775
237	4.112855227
238	4.111165727
239	4.109215687
240	4.107387812
241	4.105375326
242	4.103171779
243	4.101702051
244	4.099274581
245	4.097462778
246	4.095474269
247	4.09405681
248	4.092470414
249	4.090617742
250	4.088661252
251	4.087550772
252	4.08619016
253	4.084837428
254	4.082192625
255	4.0805154
256	4.078899493
257	4.077181305
258	4.076010904
259	4.074141483
260	4.073147718
261	4.071836982
262	4.070194794
263	4.068894247
264	4.067124177
265	4.065537033
266	4.064562257
267	4.063109948
268	4.06106598
269	4.059246986
270	4.057704254
271	4.05567025
272	4.053268615
273	4.051547583
274	4.049343021
275	4.048019381
276	4.045936875
277	4.044180923
278	4.043039836
279	4.041468832
280	4.040240755
281	4.038906236
282	4.037912228
283	4.036157031
284	4.034899388
285	4.033996781
286	4.031965975
287	4.030388552
288	4.028625296
289	4.026629629
290	4.02495709
291	4.023308802
292	4.022165258
293	4.020151485
294	4.019038852
295	4.018224831
