iter	Passed	Remaining
0	3	37066
1	6	31907
2	8	28111
3	10	26170
4	12	25963
5	15	24988
6	16	24159
7	19	23978
8	21	23421
9	22	22819
10	24	22442
11	26	22084
12	28	22094
13	30	22023
14	32	21941
15	34	21786
16	37	21799
17	39	21853
18	41	22009
19	44	22388
20	48	22840
21	51	23138
22	55	24057
23	57	24106
24	60	24246
25	63	24288
26	65	24258
27	67	24125
28	69	23989
29	71	23873
30	74	23803
31	76	23697
32	78	23695
33	81	23886
34	83	23898
35	86	23889
36	88	23936
37	91	23940
38	94	24204
39	97	24287
40	99	24219
41	101	24171
42	104	24112
43	106	24131
44	109	24116
45	111	24062
46	113	24108
47	116	24051
48	118	24089
49	121	24168
50	123	24163
51	126	24133
52	128	24112
53	130	24081
54	133	24143
55	136	24203
56	139	24297
57	141	24271
58	144	24294
59	146	24300
60	149	24296
61	151	24303
62	154	24304
63	156	24277
64	158	24273
65	161	24262
66	163	24237
67	166	24266
68	168	24300
69	171	24287
70	173	24314
71	176	24317
72	178	24338
73	181	24367
74	184	24417
75	187	24453
76	189	24412
77	191	24335
78	193	24300
79	195	24224
80	197	24158
81	199	24118
82	201	24046
83	203	23978
84	205	23969
85	207	23951
86	210	23943
87	212	23939
88	214	23909
89	216	23877
90	218	23840
91	221	23814
92	223	23789
93	226	23823
94	228	23842
95	230	23827
96	233	23821
97	235	23788
98	237	23745
99	239	23699
100	241	23707
101	244	23704
102	246	23679
103	248	23648
104	250	23618
105	252	23600
106	255	23578
107	257	23545
108	259	23541
109	261	23523
110	263	23488
111	265	23446
112	267	23431
113	270	23418
114	272	23417
115	274	23426
116	277	23402
117	279	23375
118	281	23354
119	283	23337
120	285	23322
121	288	23337
122	290	23317
123	292	23295
124	294	23280
125	296	23252
126	298	23225
127	301	23217
128	303	23202
129	305	23171
130	307	23144
131	309	23132
132	311	23113
133	313	23099
134	315	23090
135	318	23089
136	321	23117
137	323	23092
138	325	23073
139	327	23058
140	329	23041
141	331	23020
142	333	23008
143	335	22988
144	337	22960
145	339	22945
146	341	22920
147	343	22895
148	345	22862
149	347	22851
150	350	22829
151	352	22809
152	354	22790
153	356	22773
154	358	22761
155	360	22767
156	363	22770
157	365	22781
158	368	22796
159	370	22785
160	372	22761
161	374	22760
162	376	22741
163	378	22720
164	381	22711
165	382	22685
166	384	22652
167	386	22638
168	389	22645
169	391	22642
170	393	22628
171	395	22605
172	397	22574
173	399	22542
174	400	22511
175	402	22482
176	404	22466
177	406	22457
178	409	22457
179	411	22430
180	413	22404
181	415	22398
182	417	22375
183	419	22361
184	421	22359
185	423	22336
186	425	22306
187	426	22285
188	428	22261
189	430	22232
190	432	22203
191	434	22194
192	436	22174
193	438	22157
194	440	22142
195	442	22130
196	444	22113
197	446	22085
198	447	22064
199	450	22060
200	452	22063
201	454	22055
202	457	22057
203	458	22038
204	460	22015
205	462	22001
206	464	21982
207	466	21957
208	468	21939
209	470	21928
210	472	21913
211	474	21890
212	476	21877
213	477	21854
214	479	21841
215	481	21832
216	483	21818
217	485	21803
218	487	21779
219	489	21757
220	491	21735
221	493	21715
222	495	21704
223	497	21700
224	499	21700
225	501	21689
226	503	21681
227	505	21658
228	507	21637
229	509	21626
230	510	21603
231	513	21599
232	515	21593
233	517	21582
234	519	21566
235	520	21554
236	522	21540
237	524	21521
238	526	21506
239	528	21492
240	530	21484
241	532	21466
242	534	21443
243	535	21423
244	537	21408
245	539	21389
246	541	21391
247	543	21381
248	545	21381
249	547	21371
250	549	21358
251	551	21340
252	553	21327
253	555	21313
254	557	21295
255	558	21276
256	560	21253
257	562	21247
258	564	21230
259	566	21211
260	568	21195
261	569	21184
262	572	21183
263	574	21177
264	576	21162
265	577	21145
266	579	21126
267	581	21108
268	583	21095
269	584	21075
270	586	21068
271	589	21066
272	591	21070
273	593	21052
274	594	21031
275	596	21018
276	598	20998
277	600	20985
278	601	20974
279	604	20969
280	606	20965
281	608	20956
282	610	20946
283	612	20939
284	613	20921
285	615	20902
286	617	20889
287	618	20871
288	620	20863
289	622	20846
290	624	20836
291	626	20816
292	627	20798
293	629	20781
294	631	20768
295	633	20757
296	635	20754
297	637	20758
298	639	20759
299	641	20748
300	643	20732
301	645	20717
302	646	20699
303	648	20684
304	650	20671
305	652	20660
306	654	20650
307	655	20642
308	657	20632
309	659	20622
310	661	20609
311	663	20609
312	665	20609
313	667	20599
314	669	20589
315	671	20578
316	673	20566
317	675	20554
318	677	20551
319	679	20550
320	681	20545
321	683	20547
322	685	20543
323	687	20536
324	689	20528
325	691	20522
326	693	20517
327	695	20510
328	697	20501
329	699	20495
330	701	20487
331	703	20472
332	704	20460
333	706	20450
334	708	20436
335	710	20423
336	711	20413
337	713	20403
338	715	20394
339	717	20379
340	719	20372
341	721	20367
342	723	20361
343	725	20366
344	727	20373
345	730	20371
346	731	20362
347	733	20352
348	735	20345
349	737	20342
350	739	20335
351	741	20326
352	743	20318
353	745	20319
354	747	20313
355	749	20301
356	751	20296
357	753	20287
358	755	20281
359	757	20279
360	759	20274
361	761	20267
362	762	20255
363	764	20244
364	766	20237
365	768	20230
366	770	20228
367	772	20227
368	774	20226
369	777	20225
370	779	20219
371	780	20210
372	782	20198
373	784	20196
374	786	20196
375	788	20187
376	790	20175
377	792	20162
378	793	20151
379	795	20142
380	797	20139
381	799	20138
382	801	20132
383	803	20122
384	805	20111
385	807	20103
386	808	20091
387	810	20081
388	812	20072
389	814	20073
390	817	20079
391	819	20081
392	821	20083
393	823	20075
394	825	20062
395	827	20058
396	828	20051
397	830	20044
398	832	20037
399	834	20034
400	836	20029
401	838	20025
402	840	20023
403	842	20019
404	844	20019
405	847	20016
406	849	20012
407	851	20006
408	852	19998
409	854	19989
410	856	19980
411	858	19971
412	860	19972
413	862	19971
414	864	19974
415	866	19970
416	868	19964
417	870	19957
418	872	19952
419	874	19943
420	876	19934
421	878	19931
422	880	19932
423	882	19925
424	884	19918
425	885	19911
426	887	19906
427	889	19898
428	891	19888
429	893	19878
430	895	19875
431	896	19866
432	898	19858
433	900	19854
434	902	19844
435	904	19834
436	906	19833
437	908	19831
438	910	19830
439	913	19838
440	915	19845
441	917	19837
442	919	19831
443	921	19826
444	923	19820
445	925	19815
446	927	19815
447	929	19813
448	931	19807
449	933	19803
450	935	19806
451	937	19806
452	939	19802
453	941	19802
454	943	19796
455	945	19792
456	947	19787
457	949	19783
458	951	19781
459	953	19777
460	956	19782
461	958	19780
462	959	19770
463	961	19768
464	963	19765
465	965	19758
466	968	19760
467	970	19757
468	971	19752
469	973	19743
470	975	19737
471	977	19731
472	979	19724
473	981	19723
474	984	19743
475	986	19733
476	988	19726
477	989	19719
478	991	19709
479	993	19703
480	995	19703
481	997	19701
482	1000	19704
483	1002	19710
484	1004	19708
485	1006	19699
486	1009	19720
487	1011	19711
488	1012	19702
489	1014	19698
490	1016	19692
491	1018	19683
492	1020	19674
493	1022	19670
494	1023	19661
495	1025	19654
496	1028	19656
497	1030	19652
498	1031	19643
499	1033	19634
500	1035	19627
501	1037	19621
502	1038	19612
503	1040	19602
504	1042	19603
505	1044	19602
506	1047	19606
507	1048	19600
508	1050	19590
509	1052	19582
510	1054	19573
511	1055	19567
512	1058	19566
513	1060	19562
514	1062	19559
515	1063	19553
516	1065	19543
517	1067	19534
518	1068	19528
519	1070	19519
520	1072	19512
521	1074	19504
522	1076	19501
523	1078	19498
524	1079	19489
525	1081	19484
526	1083	19476
527	1085	19468
528	1087	19461
529	1089	19460
530	1091	19456
531	1093	19456
532	1095	19456
533	1097	19459
534	1099	19451
535	1101	19445
536	1103	19442
537	1105	19437
538	1107	19437
539	1109	19434
540	1111	19427
541	1112	19421
542	1114	19413
543	1116	19411
544	1118	19407
545	1120	19406
546	1123	19407
547	1124	19402
548	1126	19394
549	1128	19387
550	1130	19382
551	1131	19374
552	1133	19371
553	1136	19371
554	1138	19373
555	1140	19369
556	1141	19360
557	1144	19358
558	1145	19350
559	1147	19344
560	1149	19344
561	1151	19340
562	1153	19333
563	1155	19324
564	1157	19321
565	1158	19314
566	1160	19307
567	1162	19299
568	1164	19295
569	1166	19290
570	1168	19288
571	1169	19281
572	1171	19274
573	1173	19265
574	1174	19258
575	1176	19256
576	1179	19258
